,Street,Price,Beds,Baths,Square Footage,Total Taxes,Elementary School,Middle School,High School,Year built
0,1930 SW River Dr ,700000,2,2,1500,24386,Ainsworth Elementary School,West Sylvan Middle School,9,2006
1,16613 SE Lillian Way,405000,3,2,2102,5789,Butler Creek Elementary School,Centennial Middle School,68,1987
2,6615 SE 21st Ave,465000,2,1,1573,4822,Llewellyn Elementary School,Sellwood Middle School,16,1924
3,12424 SE Bybee Blvd,375000,3,2,2481,5193,Gilbert Park Elementary School,Alice Ott Middle School,74,1954
4,336 NE Morgan St,300000,3,2,1225,4916,Woodlawn Elementary School,Ockley Green School,146,2008
5,3291 NE Irving St,699900,4,3,3357,9306,Laurelhurst Elementary School,Laurelhurst Elementary School,21,1922
6,5105 SW Evelyn St,389000,3,2,1470,6166,Markham Elementary School,Jackson Middle School,96,1975
7,3571 NE Killingsworth St,399900,2,1,1199,2207,Rigler Elementary School,Beaumont Middle School,92,1924
8,7338 N Fowler Ave,575000,3,2,3125,7487,Peninsula Elementary School,Ockley Green School,146,1942
9,11615 SE Lexington St,435000,5,3,2554,5112,Gilbert Park Elementary School,Alice Ott Middle School,74,1964
10,3432 NE 131st Ave,389900,4,2,1913,4970,Shaver Elementary School,Parkrose Middle School,51,1962
11,3639 SE Yamhill St,849900,4,3,5193,7933,Sunnyside Environmental School,Sunnyside Environmental School,29,1910
12,9712 N Ivanhoe St,549900,3,2,2192,6935,Sitton Elementary School,George Middle School,146,2011
13,7301 SW Corbett Ave,523000,3,2,2100,9921,Rieke Elementary School,Gray Middle School,96,1989
14,5916 SW Knightsbridge Dr,615000,3,2,3024,10530,Markham Elementary School,Jackson Middle School,96,1989
15,2105 SE 89th Ave,399900,2,1,1632,3204,Harrison Park School,Harrison Park School,92,1929
16,7308 SE Woodward St,469950,3,2,2298,4950,Bridger Elementary School,Bridger Elementary School,29,1956
17,4521 SW Fairview Blvd,749900,4,3,3114,10819,Ainsworth Elementary School,West Sylvan Middle School,9,1992
18,1500 SW 5th Ave ,1450000,3,2,2436,8218,Chapman Elementary School,West Sylvan Middle School,9,1973
19,1906 NE Junior St,420000,4,1,1520,4060,Faubion Elementary School,Faubion Elementary School,92,1973
20,6431 SE Morrison St,599000,3,2,2478,5315,Glencoe Elementary School,Mt Tabor Middle School,29,1927
21,5607 SE Lambert St,349950,2,1,978,3288,Lewis Elementary School,Sellwood Middle School,16,1928
22,6925 NE Siskiyou St,349900,3,1,1878,3750,Rose City Park,Roseway Heights School,92,1912
23,322 NE 76th Ave,450000,4,2,2144,3820,Vestal Elementary School,Roseway Heights School,92,1909
24,7419 N Washburne Ave,635000,3,2,3064,5582,Peninsula Elementary School,Ockley Green School,146,1941
25,10230 NW Gloaming Ln,831300,4,3,3110,18088,Forest Park Elementary School,West Sylvan Middle School,9,2005
26,12280 SE Main St,199900,2,1,962,1968,Menlo Park Elementary School,Floyd Light Middle School,74,1966
27,5875 NE Failing St,549900,3,3,2200,5138,Scott Elementary School,Roseway Heights School,92,1925
28,7230 N Monteith Ave,369900,3,1,1016,3533,Astor Elementary School,Astor Elementary School,146,1948
29,5230 SW Burton Dr,1390000,5,3,3394,17207,Bridlemile Elementary School,West Sylvan Middle School,9,1941
30,1220 NE 17th Ave ,258000,2,1,962,2920,Buckman Elementary School,Hosford Middle School,16,1963
31,5522 SE Ramona St,599900,4,2,2812,5172,Woodstock Elementary School,Hosford Middle School,16,1912
32,6143 SW 45th Ave,425000,3,1,1330,5030,Hayhurst Elementary School,Gray Middle School,96,1951
33,230 N Lotus Isle Dr,785000,5,4,3530,12576,Faubion Elementary School,Faubion Elementary School,146,1989
34,1255 NW 9th Ave ,450000,1,1,943,4873,Chapman Elementary School,West Sylvan Middle School,9,2004
35,9938 N Jersey St,225000,3,1,936,2648,Sitton Elementary School,George Middle School,146,1955
36,9946 N Jersey St,225000,3,1,936,2626,Sitton Elementary School,George Middle School,146,1955
37,1931 SE 58th Ave,414900,2,1,2300,6706,Atkinson Elementary School,Mt Tabor Middle School,29,1926
38,4048 SE Salmon St,665000,3,2,2460,3774,Sunnyside Environmental School,Sunnyside Environmental School,29,1900
39,2705 N Hunt St,419999,3,2,1602,2309,Peninsula Elementary School,Ockley Green School,146,1923
40,3103 SW Nottingham Dr,685000,3,2,2106,12056,Ainsworth Elementary School,West Sylvan Middle School,9,1979
41,9428 N Haven Ave,389900,3,2,1818,5727,Rosa Parks Elementary School,George Middle School,146,2006
42,7125 N Albina Ave,349000,2,1,1596,3072,Woodlawn Elementary School,Ockley Green School,146,1956
43,5525 NW Skyline Blvd,1100000,4,3,4562,13067,Skyline Elementary School,Skyline Elementary School,9,1995
44,2719 N Farragut St,469500,4,2,2593,3785,Peninsula Elementary School,Ockley Green School,146,1913
45,1715 SE 36th Ave,589000,4,2,2423,4486,Abernethy Elementary School,Hosford Middle School,16,1911
46,11203 SW 27th Ave,556900,4,2,2152,8215,Stephenson Elementary School,Jackson Middle School,96,1996
47,5924 SE Cesar E Chavez Blvd,649000,4,2,2498,5955,Woodstock Elementary School,Hosford Middle School,16,1946
48,3205 NE 75th Ave,594900,5,2,2194,5460,Lee Elementary School,Roseway Heights School,92,1929
49,416 NW 13th Ave ,450000,1,1,1089,6433,Chapman Elementary School,West Sylvan Middle School,9,1910
50,6625 SE Duke St,339900,3,2,2053,4017,Woodstock Elementary School,Hosford Middle School,16,1948
51,12631 SE Stephens St,258000,2,1,888,2767,Mill Park Elementary School,Ron Russell Middle School,74,1948
52,2915 N Hunt St,419000,4,1,1296,3047,Peninsula Elementary School,Ockley Green School,146,1951
53,11937 SE Schiller St,350000,3,2,2604,4166,West Powellhurst Elementary School,Ron Russell Middle School,74,2000
54,7904 SW Capitol Hill,475000,3,2,2053,5416,Rieke Elementary School,Gray Middle School,96,1953
55,122 NW Pittock Ave,735000,3,3,3426,9919,Chapman Elementary School,West Sylvan Middle School,9,1947
56,14545 NE Brazee Ct,349999,4,2,1898,3650,Margaret Scott Elementary School,Hauton B Lee Middle School,174,1961
57,6236 NE Willow St,415000,3,2,1072,3340,Glencoe Elementary School,Mt Tabor Middle School,29,1979
58,8037 SW Devon Ln,539500,3,2,1890,7117,Maplewood Elementary School,Jackson Middle School,96,1996
59,6225 SE 13th Ave,569900,3,2,2072,6426,Llewellyn Elementary School,Sellwood Middle School,16,1961
60,6035 SE Knight St,360000,3,1,1476,3619,Woodstock Elementary School,Hosford Middle School,16,1928
61,8317 SE Clay St,389900,3,2,1850,6077,Harrison Park School,Harrison Park School,92,2000
62,14952 SE Caruthers Ct ,140000,2,1,956,2484,Parklane Elementary School,Centennial Middle School,68,1970
63,311 NW 12th Ave ,1299000,2,2,2117,19004,Chapman Elementary School,West Sylvan Middle School,9,2007
64,8618 N Edison St ,359900,2,2,968,1330,James John Elementary School,George Middle School,146,1905
65,8622 N Edison St ,374900,2,2,915,1330,James John Elementary School,George Middle School,146,1905
66,3269 NE Dekum St,429999,3,2,1976,3274,Faubion Elementary School,Faubion Elementary School,92,1952
67,3231 SE Schiller St,595000,3,2,2644,7585,Grout Elementary School,Hosford Middle School,16,1967
68,2222 SE 135th Ave,349000,3,1,1184,3767,Lincoln Park Elementary School,Ron Russell Middle School,74,1968
69,2033 NE 95th Pl,459000,3,1,1944,5263,Lee Elementary School,Roseway Heights School,92,1959
70,4516 NE 86th Ave,332500,2,1,800,2279,Russell Elementary,Parkrose Middle School,51,1926
71,4016 SW Patton Rd,611900,3,2,2515,9117,Bridlemile Elementary School,Gray Middle School,96,1976
72,7522 SE Rural St,389900,4,2,1883,3172,Woodmere Elementary School,Lane Middle School,29,1911
73,3671 SE Knapp St,814900,4,2,2686,8900,Duniway Elementary School,Sellwood Middle School,16,2017
74,5312 NE 12th Ave,540000,4,2,2054,1907,Vernon Elementary School,Vernon Elementary School,92,1911
75,3606 SE Johnson Creek Blvd,484860,3,2,2042,4158,Duniway Elementary School,Sellwood Middle School,16,1954
76,5120 N Albina Ave,199000,2,1,2561,2911,Boise-Eliot Elementary School,Harriet Tubman Middle School,21,1905
77,3211 SE 22nd Ave,549000,3,2,1774,4638,Abernethy Elementary School,Hosford Middle School,16,1923
78,324 NE Morgan St ,310000,3,2,1371,4999,Woodlawn Elementary School,Ockley Green School,146,2008
79,9805 N Clarendon Ave,300000,3,1,1326,3201,Cesar Chavez K-8 School,Cesar Chavez K-8 School,146,1962
80,9216 SE Market St,425000,3,2,1740,4843,Harrison Park School,Harrison Park School,92,1970
81,4855 SE 65th Ave,565000,4,2,2298,5472,Arleta Elementary School,Arleta Elementary School,29,1905
82,2547 NW Upshur St,999000,2,3,4172,17969,Chapman Elementary School,West Sylvan Middle School,9,1999
83,12504 SE Stark St ,170000,2,2,980,1948,Menlo Park Elementary School,Floyd Light Middle School,74,1984
84,1146 NE 69th Ave,407000,3,2,1246,3874,Vestal Elementary School,Roseway Heights School,92,1954
85,17163 SE Alder St,339999,4,2,1535,3102,Alder Elementary School,Hauton B Lee Middle School,174,2012
86,3134 SE 134th Ave,430000,5,2,3218,4545,Lincoln Park Elementary School,Ron Russell Middle School,74,1955
87,2162 SE 139th Ave,315000,3,1,1384,3606,Lincoln Park Elementary School,Ron Russell Middle School,74,1926
88,2242 NE 158th Ave,350000,2,2,1344,5152,Margaret Scott Elementary School,Hauton B Lee Middle School,174,1990
89,8431 NW Adams St,657100,3,2,3831,13445,Forest Park Elementary School,West Sylvan Middle School,9,1997
90,8225 SE Morrison St,379900,4,2,1003,2635,Harrison Park School,Harrison Park School,92,1963
91,6410 SW Seymour St,625000,6,2,3831,8916,Bridlemile Elementary School,Gray Middle School,96,1962
92,1723 SE Harney St,734950,5,3,2765,4336,Duniway Elementary School,Sellwood Middle School,16,1910
93,3803 SE 28th Ave,380000,2,1,1904,3109,Grout Elementary School,Hosford Middle School,16,1923
94,12231 NE Russell St,339900,3,1,1389,3285,Russell Elementary,Parkrose Middle School,51,1956
95,13109 SE Cora St,269000,4,3,2706,4384,Gilbert Heights Elementary School,Alice Ott Middle School,74,1949
96,9636 N Woolsey Ave,367000,4,2,1606,3515,Rosa Parks Elementary School,George Middle School,146,2008
97,13220 SE Harold St,499900,4,2,2028,5692,Gilbert Park Elementary School,Alice Ott Middle School,74,1969
98,3030 SW Ridge Dr,599900,4,2,3052,7673,Stephenson Elementary School,Jackson Middle School,96,1968
99,7114 SE Mitchell St,379900,3,1,1763,3497,Arleta Elementary School,Arleta Elementary School,29,1908
100,13639 NE Marine Dr,699900,3,2,2312,6652,Shaver Elementary School,Parkrose Middle School,51,1968
101,3172 NE 102nd Ave,299000,2,2,1708,2562,Sacramento Elementary School,Parkrose Middle School,51,1924
102,10717 NW Skyline Blvd,1600000,4,5,5873,26928,Skyline Elementary School,Skyline Elementary School,9,2007
103,7720 SW Macadam Ave ,645000,1,1,748,22496,Capitol Hill Elementary School,Jackson Middle School,96,1986
104,6065 SW Taylor St,625000,4,3,2236,9909,Bridlemile Elementary School,West Sylvan Middle School,9,1993
105,7604 SW 35th Ave,795000,2,1,1680,4807,Maplewood Elementary School,Jackson Middle School,96,1922
106,5904 NE Sandy Blvd,655000,2,1,2264,5257,Rose City Park,Roseway Heights School,92,1919
107,4900 SW Boundary St,399000,3,1,1396,5258,Hayhurst Elementary School,Gray Middle School,96,1952
108,839 SW Broadway Dr ,275000,2,1,875,4597,Ainsworth Elementary School,West Sylvan Middle School,9,1968
109,12829 SE Madison St,457000,4,2,2224,4677,Menlo Park Elementary School,Floyd Light Middle School,74,1960
110,43 SE 89th Ave,289000,2,1,1196,2937,Vestal Elementary School,Roseway Heights School,92,1931
111,6045 NE Flanders St,725000,2,4,2387,9053,Glencoe Elementary School,Mt Tabor Middle School,29,1915
112,414 N Bridgeton Rd,449000,2,2,2344,7643,Faubion Elementary School,Faubion Elementary School,146,1997
113,1826 NE Highland St,899000,4,2,2846,3283,Vernon Elementary School,Vernon Elementary School,92,1951
114,8441 SW 10th Ave,419900,2,1,1250,4973,Capitol Hill Elementary School,Jackson Middle School,96,1971
115,8122 SE 74th Ave,290000,5,1,1613,3197,Whitman Elementary School,Lane Middle School,16,1950
116,12253 SE Long St,254950,2,2,1860,3179,Gilbert Heights Elementary School,Alice Ott Middle School,74,2001
117,2340 N Winchell St,434900,3,1,1028,3601,Peninsula Elementary School,Ockley Green School,146,1910
118,110 SE 73rd Ave,282000,2,1,762,3264,Vestal Elementary School,Roseway Heights School,92,1963
119,875 N Watts St,399900,2,1,976,3003,Woodlawn Elementary School,Ockley Green School,146,1952
120,4923 SW Lowell St,689000,3,3,2366,9682,Bridlemile Elementary School,Gray Middle School,96,1949
121,9719 NW Silver Ridge Loop,381900,2,2,1419,6634,Forest Park Elementary School,West Sylvan Middle School,9,1994
122,3440 NE 63rd Ave,589950,4,2,3058,7563,Scott Elementary School,Roseway Heights School,92,1915
123,15424 SE Tibbetts St,399000,2,2,1128,3548,Powell Butte Elementary School,Centennial Middle School,68,1966
124,12620 NE Morris St,385000,3,1,1638,4467,Russell Elementary,Parkrose Middle School,51,1962
125,5254 SE 74th Ave,275000,1,1,588,2404,Marysville Elementary School,Marysville Elementary School,29,1923
126,608 NE 118th Ave,565000,10,4,3400,8301,Ventura Park Elementary School,Floyd Light Middle School,74,1993
127,12227 SW Lesser Rd,410000,3,2,2348,5693,Markham Elementary School,Jackson Middle School,96,1952
128,1841 SE 130th Ave,369900,3,2,1337,4270,Mill Park Elementary School,Ron Russell Middle School,74,1994
129,7739 SW 10th Ave,599000,3,2,2182,7809,Capitol Hill Elementary School,Jackson Middle School,96,1982
130,8009 SE 144th Dr,824999,6,4,5470,11506,Pleasant Valley Elementary School,Centennial Middle School,68,2005
131,2109 SE 118th Ave,315000,3,1,1533,2637,Mill Park Elementary School,Floyd Light Middle School,74,1952
132,2116 NW 16th Ave,788900,2,2,2074,14171,Chapman Elementary School,West Sylvan Middle School,9,2006
133,110 NE 157th Ave,498000,4,2,2124,3294,Glenfair Elementary School,Hauton B Lee Middle School,174,1965
134,7820 N Olympia St,399000,3,3,1772,4718,Sitton Elementary School,George Middle School,146,1999
135,3624 NE Cleveland Ave,499000,4,2,2776,3157,Boise-Eliot Elementary School,Harriet Tubman Middle School,21,1894
136,10215 SW 31st Ave,579900,3,3,2393,10557,Stephenson Elementary School,Jackson Middle School,96,1993
137,16317 SE Market St,293900,3,1,1180,3245,Patrick Lynch Elementary School,Centennial Middle School,68,1955
138,3319 SE 50th Ave,460000,2,1,1522,3816,Creston Elementary School,Creston Elementary School,29,1926
139,6410 NE 41st Ave,450000,3,2,2747,6495,Rigler Elementary School,Beaumont Middle School,92,1955
140,4514 E Burnside St,610000,6,2,3911,7356,Glencoe Elementary School,Mt Tabor Middle School,29,1932
141,7229 N Hurst Ave,549950,4,2,2892,6133,Astor Elementary School,Astor Elementary School,146,1942
142,1209 SW 6th Ave ,499000,2,1,1140,58733,Chapman Elementary School,West Sylvan Middle School,9,1913
143,2083 NW Johnson St ,435000,2,1,1114,3882,Chapman Elementary School,West Sylvan Middle School,9,1911
144,8809 SE Reedway St,324900,3,1,1060,3576,Lent Elementary School,Lent Elementary School,29,1978
145,2354 NW Roosevelt St,495000,2,2,2111,3838,Chapman Elementary School,West Sylvan Middle School,9,1904
146,6417 SE 139th Ave,331900,3,2,1216,3911,Gilbert Park Elementary School,Alice Ott Middle School,74,1997
147,1526 NE 150th Ave,376500,2,2,1427,5163,Margaret Scott Elementary School,Hauton B Lee Middle School,174,1993
148,2114 SE Ladd Ave,949900,6,2,4188,7497,Abernethy Elementary School,Hosford Middle School,16,1913
149,7023 SE Knight St,329000,2,1,820,3161,Arleta Elementary School,Arleta Elementary School,29,1904
150,5703 SE Lambert St,159900,2,1,864,1643,Whitman Elementary School,Lane Middle School,16,1923
151,6428 SE 139th Ave,314900,2,2,1066,3745,Gilbert Park Elementary School,Alice Ott Middle School,74,1997
152,8031 SE 9th Ave,719900,4,2,2083,1273,Llewellyn Elementary School,Sellwood Middle School,16,1884
153,7935 SE Bybee Blvd,339900,2,1,1298,2868,Woodmere Elementary School,Lane Middle School,29,1944
154,6007 SE Steele St,625000,4,3,2550,7270,Arleta Elementary School,Arleta Elementary School,29,2012
155,9635 SE Glenwood St,375000,3,2,1950,4202,Kelly Elementary School,Lane Middle School,29,1954
156,8329 SW 24th Ave,398000,3,3,1724,7343,Maplewood Elementary School,Jackson Middle School,96,2005
157,8821 NE Wasco St,325000,3,2,2029,4285,Lee Elementary School,Roseway Heights School,92,2008
158,330 SE 50th Ave,348000,2,1,1274,3541,Glencoe Elementary School,Mt Tabor Middle School,29,1973
159,1621 NE 157th Ave,389900,4,2,1612,3684,Margaret Scott Elementary School,Hauton B Lee Middle School,174,1965
160,4145 SW Washouga Ave,649900,4,3,3130,7790,Rieke Elementary School,Gray Middle School,96,1971
161,6126 SE Malden St,299999,3,3,1506,3855,Whitman Elementary School,Lane Middle School,16,2006
162,2344 SE 112th Ave,299900,3,2,1430,3804,Mill Park Elementary School,Floyd Light Middle School,74,2007
163,10161 N Ziegler Ave,329900,2,1,1208,3351,Sitton Elementary School,George Middle School,146,2005
164,25 NE 47th Ave,650000,4,1,3452,7880,Laurelhurst Elementary School,Laurelhurst Elementary School,21,1912
165,318 SE Spokane St,929000,2,2,2612,14106,Duniway Elementary School,Sellwood Middle School,16,1980
166,6617 SE 65th Ave,315000,2,1,884,3059,Woodmere Elementary School,Lane Middle School,29,1961
167,528 NE 92nd Ave,419000,3,2,1533,3879,Cherry Park Elementary School,Floyd Light Middle School,74,2004
168,10110 SE Clatsop St,619000,5,2,3453,10445,Kelly Elementary School,Lane Middle School,29,1994
169,4816 SW Fairview Blvd,725000,3,2,2473,12488,Ainsworth Elementary School,West Sylvan Middle School,9,2002
170,1310 NE 148th Ave,699900,10,4,5120,9831,Glenfair Elementary School,Hauton B Lee Middle School,174,1956
171,2029 SE 143rd Ave,335000,4,2,1222,3357,Parklane Elementary School,Centennial Middle School,68,1953
172,3405 NE 162nd Ave,230000,3,2,1430,2524,Margaret Scott Elementary School,Hauton B Lee Middle School,174,1979
173,15735 SE Clinton St,294990,3,1,950,3302,Powell Butte Elementary School,Centennial Middle School,68,1972
174,8037 NW Prominence Ct,1250000,3,4,3195,11506,Forest Park Elementary School,West Sylvan Middle School,9,2011
175,712 SE 42nd Ave,464712,2,1,889,3618,Glencoe Elementary School,Mt Tabor Middle School,29,1917
176,650 NW Macleay Blvd,1350000,4,3,2863,11243,Chapman Elementary School,West Sylvan Middle School,9,1952
177,10035 N Syracuse St,479950,4,2,2456,5199,Sitton Elementary School,George Middle School,146,1922
178,306 SW Palatine Hill Rd,475000,2,1,2184,4356,Capitol Hill Elementary School,Jackson Middle School,96,1957
179,1148 SE 84th Ave,299900,2,1,840,2903,Harrison Park School,Harrison Park School,92,1960
180,6915 SE 156th Ave,500000,4,2,2475,6132,Pleasant Valley Elementary School,Centennial Middle School,68,2002
181,5180 N Amherst St,879900,4,3,3059,2697,Astor Elementary School,Astor Elementary School,146,1911
182,239 SE 53rd Ave,570000,4,2,3427,6185,Glencoe Elementary School,Mt Tabor Middle School,29,1930
183,9735 N Edison St,412500,3,1,887,2596,Sitton Elementary School,George Middle School,146,1960
184,9323 SW 51st Ave,375000,3,1,1090,5297,Markham Elementary School,Jackson Middle School,96,1977
185,2010 NE 121st Ave,399900,3,2,1872,4165,Sacramento Elementary School,Parkrose Middle School,51,1954
186,7501 SE 152nd Ave,750000,4,2,3619,8290,Gilbert Park Elementary School,Alice Ott Middle School,74,1989
187,13231 SE Buford Ct,526900,4,2,2766,6104,Gilbert Park Elementary School,Alice Ott Middle School,74,2007
188,3603 NE Grand Ave,599000,4,2,2282,2532,Sabin Elementary School,Harriet Tubman Middle School,21,1900
189,6220 SW Sheridan St,985000,5,3,4559,15356,Bridlemile Elementary School,West Sylvan Middle School,9,1997
190,8102 SW 61st Ave,899980,5,4,4007,12915,Maplewood Elementary School,Jackson Middle School,96,2005
191,5262 SW Westwood,1895000,5,4,5246,22631,Rieke Elementary School,Gray Middle School,96,2016
192,2110 SE 158th Ave,347000,3,1,1272,3542,Parklane Elementary School,Centennial Middle School,68,1957
193,9919 NW Hoge Ave,457500,4,1,1820,4625,Skyline Elementary School,Skyline Elementary School,9,1926
194,4334 NE Laurelhurst Pl,765000,3,3,2590,9762,Laurelhurst Elementary School,Laurelhurst Elementary School,21,1922
195,2521 SW Hoffman Ave,825000,3,4,3034,14511,Ainsworth Elementary School,West Sylvan Middle School,9,1891
196,5824 SW Corbett Ave,625000,3,2,2860,7110,Capitol Hill Elementary School,Jackson Middle School,96,1916
197,4615 NE 98th Ave,374900,3,2,1374,2136,Prescott Elementary School,Parkrose Middle School,51,1942
198,4244 SE Anderegg Loop,429000,3,2,1834,4892,Butler Creek Elementary School,Centennial Middle School,68,1997
199,1724 SW Troy St,539000,5,2,2252,4903,Rieke Elementary School,Gray Middle School,96,1959
200,4150 SE Milwaukie Ave,359000,2,1,1160,2334,Grout Elementary School,Hosford Middle School,16,1926
201,6424 SW Alfred St,525000,4,2,2298,6593,Markham Elementary School,Jackson Middle School,96,1958
202,3131 NE 57th Ave,445000,4,2,2088,4674,Alameda Elementary School,Beaumont Middle School,21,1918
203,5305 SE 34th Ave,649950,6,2,3425,6578,Grout Elementary School,Hosford Middle School,16,1948
204,4221 NE 132nd Ave,399000,3,2,1440,4262,Shaver Elementary School,Parkrose Middle School,51,1967
205,2333 SE 98th Ave,375000,3,2,1804,4841,Cherry Park Elementary School,Floyd Light Middle School,74,2002
206,6103 NW Cornell Rd,1499000,4,3,5236,10408,Chapman Elementary School,West Sylvan Middle School,9,1992
207,9620 NW Germantown Rd,650000,4,3,2838,10932,Skyline Elementary School,Skyline Elementary School,9,1985
208,3017 SE Claybourne St,1295000,4,2,4474,20097,Duniway Elementary School,Sellwood Middle School,16,1925
209,1870 SW Hawthorne Ter,1075000,5,3,3556,18234,Ainsworth Elementary School,West Sylvan Middle School,9,1929
210,8243 SE Pineridge Ct,769995,5,3,4789,8607,Gilbert Park Elementary School,Alice Ott Middle School,74,2007
